Торага Нурланбек Шакиев встретился с Председателем Комитета Парламента Великобритании Алисией Кернс,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84842_news_cover_photo_slider.jpg,19-05-2023 16:54
Председатель Комитета по международным делам Улан Примов встретился с Послом Ирана в Кыргызстане Саидом Харази,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84835_news_cover_photo_slider.jpg,19-05-2023 16:22
Профильный комитет провел круглый стол по обсуждению законопроекта «О внесении изменений в некоторые законодательные акты Кыргызской Республики в сфере административной юстиции и исполнительного производства»,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84831_news_cover_photo_slider.jpg,19-05-2023 16:13
В Жогорку Кенеше состоялся двухдневный семинар на тему: «Законотворческий процесс в Кыргызской Республике»,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84812_news_cover_photo_slider.JPG,19-05-2023 15:17
Парламентская фракция «Ата-Журт Кыргызстан» заслушала информацию о состоянии  государственных предприятий,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84850_news_cover_photo_slider.jpeg,19-05-2023 15:04
Торага Нурланбек Шакиев принял участие в заседании Совета ПА ОДКБ,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84779_news_cover_photo_slider.jpg,18-05-2023 16:23
Депутат Жогорку Кенеша Сеидбек Атамбаев встретился с школьниками  и учителями Беш-Кунгейской средней школы имени И. Таранчиева,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84769_news_cover_photo_slider.jpg,18-05-2023 16:18
"Депутат Чингиз Айдарбеков встретился со студентами Кыргызского государственного университета им. И.Арабаева, а также учениками школы им. А. Ракымова",kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84707_news_cover_photo_slider.jpeg,18-05-2023 15:39
Торага Жогорку Кенеша Кыргызской Республики Нурланбек Шакиев возложил венок к Монументу Победы в г.Минск,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84759_news_cover_photo_slider.jpg,18-05-2023 15:17
Торага Нурланбек Шакиев встретился с Президентом Республики Беларусь Александром Лукашенко,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84689_news_cover_photo_slider.jpg,18-05-2023 15:05
